key,x,y,z,yaw,pitch,roll
x0,3.01631,2.34482,0.435826,0.0724453,-1.22987,0.92745
x1,3.0334,2.32384,0.435357,0.108826,-1.2445,0.87567
x2,3.04903,2.30587,0.436433,0.139627,-1.25402,0.833788
x3,3.05685,2.29691,0.437372,0.16248,-1.26265,0.805331
x4,3.06932,2.28254,0.440013,0.173533,-1.27816,0.781485
x5,3.07517,2.27515,0.442228,0.193922,-1.28979,0.757451
x6,3.08626,2.25983,0.447266,0.213268,-1.29569,0.733329
x7,3.09022,2.25379,0.449939,0.241213,-1.30265,0.703784
x8,3.09952,2.23811,0.458528,0.349636,-1.31948,0.59302
x9,3.10895,2.21669,0.47579,0.625229,-1.34175,0.328693
x10,3.11078,2.20942,0.482767,0.64533,-1.34457,0.309154
x11,3.11233,2.20179,0.492218,0.654169,-1.34567,0.299346
x12,3.11311,2.19727,0.499789,0.681285,-1.35061,0.269598
x13,3.11348,2.1922,0.510248,0.701173,-1.35591,0.248571
x14,3.11337,2.18734,0.523002,0.728033,-1.36206,0.223665
x15,3.11255,2.18373,0.536519,0.794027,-1.3705,0.160723
x16,3.11229,2.18153,0.54579,0.849563,-1.37072,0.104897
x17,3.10882,2.18125,0.559812,0.934912,-1.36361,0.0228276
x18,3.10185,2.1839,0.57779,1.01704,-1.38024,-0.0459722
x19,3.09295,2.18923,0.598095,1.09907,-1.39999,-0.114838
x20,3.06777,2.20563,0.634194,1.27006,-1.38936,-0.260971
x21,3.05032,2.21664,0.653911,1.39917,-1.38905,-0.371097
x22,3.04075,2.22145,0.663757,1.53374,-1.40392,-0.487225
x23,3.02399,2.23045,0.678058,1.64714,-1.40692,-0.579197
x24,3.00907,2.23874,0.689441,1.7231,-1.40819,-0.638311
x25,2.98889,2.25007,0.701963,1.80292,-1.4091,-0.695853
x26,2.97235,2.25916,0.709927,1.89633,-1.40225,-0.771597
x27,2.95091,2.27014,0.717856,1.93821,-1.3891,-0.79482
x28,2.9231,2.28378,0.726002,2.07003,-1.37372,-0.888691
x29,2.89927,2.29628,0.72982,2.1686,-1.35376,-0.956497
x30,2.87377,2.30938,0.730787,2.20852,-1.3432,-0.969617
x31,2.84838,2.32211,0.729031,2.23581,-1.3322,-0.973504
x32,2.81628,2.33757,0.723478,2.27594,-1.31427,-0.985538
x33,2.78253,2.35221,0.714266,2.26987,-1.2944,-0.94514
x34,2.75544,2.36269,0.706608,2.29277,-1.28159,-0.945471
x35,2.68775,2.3858,0.681521,2.32364,-1.272,-0.922143
x36,2.65062,2.39763,0.664167,2.32797,-1.26573,-0.900756
x37,2.6226,2.40561,0.650491,2.32055,-1.26617,-0.873317
x38,2.55437,2.42086,0.615273,2.29506,-1.26214,-0.799326
x39,2.43897,2.44002,0.549994,2.17279,-1.27782,-0.612516
x40,2.40055,2.44374,0.529719,2.1427,-1.28501,-0.55757
x41,2.35958,2.44572,0.508727,2.10709,-1.28019,-0.497072
x42,2.31897,2.44634,0.488196,2.05847,-1.27401,-0.425779
x43,2.28011,2.44674,0.46985,2.01319,-1.27165,-0.359193
x44,2.24704,2.44687,0.454841,1.97456,-1.2724,-0.303977
x45,2.2134,2.44692,0.439743,1.9193,-1.27403,-0.23121
x46,2.11459,2.44396,0.401447,1.77239,-1.27063,-0.0386343
x47,2.08734,2.44251,0.393525,1.70095,-1.26656,0.0451119
x48,2.05682,2.44066,0.388349,1.63363,-1.26539,0.125033
x49,2.0283,2.43761,0.386805,1.5842,-1.28057,0.195686
x50,1.99881,2.43615,0.389557,1.52618,-1.2773,0.265725
x51,1.96492,2.43549,0.397496,1.39817,-1.27525,0.409682
x52,1.93744,2.43688,0.409513,1.27396,-1.26963,0.542599
x53,1.91084,2.44077,0.426815,1.16594,-1.26186,0.660351
x54,1.89272,2.44528,0.443305,1.09772,-1.2588,0.734183
x55,1.88417,2.44828,0.452087,1.05953,-1.25863,0.778422
x56,1.86849,2.45528,0.47122,0.972709,-1.25319,0.870111
x57,1.84928,2.46848,0.501408,0.816912,-1.24215,1.03187
x58,1.83992,2.47758,0.520283,0.722483,-1.22255,1.13108
x59,1.83181,2.48766,0.541775,0.646039,-1.20633,1.20994
x60,1.82578,2.49958,0.566417,0.578958,-1.19117,1.27635
x61,1.82281,2.5096,0.585288,0.534906,-1.17407,1.31644
x62,1.8226,2.5218,0.606392,0.572767,-1.15385,1.28163
x63,1.82587,2.53228,0.621898,0.551142,-1.15132,1.30159
x64,1.8336,2.54417,0.639509,0.516725,-1.14642,1.32587
x65,1.84261,2.55293,0.652053,0.490794,-1.13884,1.3401
x66,1.85643,2.56273,0.665733,0.459147,-1.12802,1.35717
x67,1.87148,2.57142,0.677889,0.438056,-1.12131,1.36292
x68,1.88678,2.57882,0.687976,0.417032,-1.12821,1.36879
x69,1.90931,2.58821,0.70147,0.386725,-1.12482,1.37735
x70,1.93319,2.59637,0.713966,0.346119,-1.12039,1.39675
x71,1.9571,2.60302,0.726529,0.294921,-1.11331,1.42794
x72,2.03536,2.61893,0.75516,0.226255,-1.12143,1.443
x73,2.10999,2.62491,0.766158,0.157287,-1.13216,1.45992
x74,2.18974,2.62042,0.769512,0.102188,-1.15005,1.45053
x75,2.2828,2.604,0.773374,0.0505164,-1.18531,1.44779
x76,2.32265,2.5951,0.778126,0.0125271,-1.20056,1.4666
x77,2.36644,2.57981,0.786728,0.0567322,-1.2188,1.38292
x78,2.40739,2.56651,0.797718,0.0485893,-1.24445,1.37298
x79,2.43114,2.55791,0.804553,0.0457321,-1.27111,1.36246
x80,2.4651,2.54537,0.815731,0.0174351,-1.29775,1.37299
x81,2.4856,2.53743,0.822945,0.0220434,-1.31712,1.35893
x82,2.50579,2.52963,0.830827,0.0149107,-1.33021,1.35732
x83,2.53244,2.51889,0.841517,-0.00615135,-1.34678,1.36078
x84,2.56194,2.50651,0.855872,-0.0562705,-1.35649,1.3939
x85,2.58955,2.49464,0.872938,-0.081166,-1.37745,1.40683
x86,2.60903,2.48563,0.888437,-0.124092,-1.39545,1.44219
x87,2.63008,2.47592,0.9074,-0.176051,-1.40863,1.48553
x88,2.65139,2.46605,0.930475,-0.237803,-1.43237,1.54111
x89,2.67007,2.4575,0.953495,-0.316259,-1.4728,1.62023
x90,2.68203,2.45114,0.971766,-0.43916,-1.51173,1.7395
x91,2.69381,2.44412,0.990933,-1.04392,-1.53481,2.34559
x92,2.70346,2.4378,1.01479,-2.25139,-1.53932,-2.73026
x93,2.70981,2.43211,1.03734,-2.91318,-1.51012,-2.06693
x94,2.71349,2.42943,1.05834,-2.9197,-1.48878,-2.05763
x95,2.71444,2.42831,1.08186,-2.87282,-1.47204,-2.1017
x96,2.70472,2.4301,1.13706,-2.825,-1.42183,-2.13751
x97,2.66663,2.44085,1.1986,-2.82604,-1.37062,-2.10904
x98,2.583,2.46107,1.23295,-2.79415,-1.29908,-2.06827
x99,2.46357,2.48177,1.19661,-2.67456,-1.36473,-2.08624
x100,2.43296,2.48417,1.18164,-2.61888,-1.38756,-2.11595
x101,2.41118,2.48609,1.17013,-2.65069,-1.40755,-2.07189
x102,2.38082,2.48875,1.15228,-2.67779,-1.42895,-2.02689
x103,2.36372,2.48989,1.14103,-2.65118,-1.43602,-2.04208
x104,2.33629,2.48976,1.12052,-2.68173,-1.45683,-1.9871
x105,2.31159,2.48802,1.09791,-2.52312,-1.45695,-2.11098
x106,2.29018,2.48667,1.07614,-2.38769,-1.47363,-2.22072
x107,2.26698,2.48338,1.04855,-2.38049,-1.4958,-2.20668
x108,2.25035,2.48086,1.02585,-2.25685,-1.51372,-2.31659
x109,2.2321,2.47725,0.997448,-1.93588,-1.53236,-2.62354
x110,2.21671,2.47314,0.971302,-1.29756,-1.54422,3.03085
x111,2.2023,2.4687,0.945128,-0.700283,-1.55463,2.444
x112,2.18492,2.46203,0.912863,0.319537,-1.55024,1.43978
x113,2.17028,2.45536,0.884679,0.627368,-1.5364,1.14362
x114,2.15846,2.44981,0.860479,0.799997,-1.52974,0.981094
x115,2.14663,2.44197,0.834399,0.780519,-1.49859,1.01817
x116,2.13635,2.43416,0.809421,0.752369,-1.49629,1.04576
x117,2.12865,2.42569,0.785406,0.776166,-1.48708,1.02692
x118,2.12499,2.4202,0.768036,0.796886,-1.48213,1.0087
x119,2.12249,2.41267,0.742388,0.798897,-1.46721,1.00784
x120,2.12549,2.39915,0.692189,0.892722,-1.44648,0.915874
x121,2.12774,2.38334,0.643489,0.975002,-1.43239,0.830785
x122,2.1286,2.36169,0.587605,1.03012,-1.40021,0.780773
x123,2.12987,2.34322,0.536083,1.09784,-1.38322,0.709867
x124,2.1426,2.31392,0.46667,1.16413,-1.35597,0.632835
x125,2.14941,2.30386,0.446405,1.15852,-1.35573,0.638797
x126,2.15514,2.29617,0.431038,1.19872,-1.34512,0.592836
x127,2.16352,2.2863,0.411844,1.24152,-1.33645,0.545842
x128,2.17439,2.27572,0.391298,1.25606,-1.32104,0.526074
x129,2.2439,2.2333,0.32919,1.31589,-1.28337,0.419688
x130,2.32189,2.21973,0.302232,1.25258,-1.25388,0.413716
x131,2.3435,2.21951,0.30038,1.23856,-1.24031,0.402912
x132,2.37166,2.22046,0.298584,1.20895,-1.24124,0.405473
x133,2.38881,2.22175,0.29798,1.16922,-1.24367,0.426786
x134,2.41747,2.22485,0.297389,1.09071,-1.2514,0.475684
x135,2.4393,2.22844,0.297788,1.04734,-1.24446,0.493393
x136,2.46846,2.23493,0.299305,0.96951,-1.24884,0.523861
x137,2.49637,2.2413,0.30283,0.941284,-1.24245,0.525101
x138,2.52831,2.25063,0.307012,0.876483,-1.24712,0.561984
x139,2.55996,2.26016,0.312127,0.785866,-1.24706,0.620858
x140,2.59279,2.27124,0.319024,0.687457,-1.25282,0.686716
x141,2.62033,2.28175,0.325032,0.635266,-1.24766,0.710684
x142,2.64509,2.29185,0.330036,0.569052,-1.24605,0.752749
x143,2.68064,2.30676,0.336443,0.484593,-1.23776,0.794869
x144,2.70945,2.3189,0.34142,0.419007,-1.23149,0.834112
x145,2.73599,2.33072,0.34611,0.361136,-1.21897,0.864057
x146,2.76136,2.34249,0.351798,0.318898,-1.21391,0.8832
x147,2.78858,2.35526,0.360851,0.268383,-1.20464,0.914342
x148,2.81159,2.3673,0.371828,0.22459,-1.2006,0.939353
x149,2.83365,2.38001,0.385176,0.183692,-1.19811,0.961805
x150,2.85471,2.39266,0.400278,0.126228,-1.19137,1.00205
x151,2.87572,2.40658,0.418378,0.0765082,-1.18678,1.03511
x152,2.89214,2.41948,0.435111,0.0206761,-1.18189,1.07945
x153,2.90958,2.43153,0.450406,-0.00934901,-1.16792,1.094
x154,2.9259,2.44508,0.469978,-0.0409571,-1.16507,1.11656
x155,2.94023,2.45751,0.490624,-0.0672248,-1.16272,1.13736
x156,2.95185,2.47009,0.512972,-0.107019,-1.15156,1.17361
x157,2.96671,2.49366,0.560228,-0.160155,-1.14504,1.22133
x158,2.97195,2.53465,0.636208,-0.204522,-1.13054,1.29088
x159,2.95653,2.57772,0.702991,-0.216636,-1.15154,1.34537
x160,2.94444,2.59731,0.725366,-0.215431,-1.15724,1.36302
x161,2.93099,2.61387,0.743044,-0.221002,-1.17353,1.38933
x162,2.91136,2.6335,0.762902,-0.208135,-1.19405,1.40043
x163,2.89912,2.64442,0.773142,-0.201065,-1.20131,1.40639
x164,2.88287,2.65716,0.784866,-0.186957,-1.21431,1.4092
x165,2.86286,2.6715,0.798522,-0.167666,-1.2289,1.40832
x166,2.84707,2.68164,0.810225,-0.163312,-1.23512,1.41724
x167,2.83249,2.69034,0.821717,-0.175532,-1.24201,1.44211
x168,2.81784,2.69855,0.833023,-0.1691,-1.26094,1.44977
x169,2.80417,2.70586,0.842873,-0.152018,-1.28315,1.44637
x170,2.78198,2.71678,0.856536,-0.123232,-1.30372,1.44141
x171,2.75539,2.72765,0.869198,-0.11477,-1.34158,1.46156
x172,2.73616,2.73504,0.87724,-0.0673956,-1.36589,1.42909
x173,2.70438,2.74522,0.888378,-0.0279296,-1.40136,1.42145
x174,2.66858,2.75438,0.898558,0.0695498,-1.4256,1.36334
x175,2.63553,2.76223,0.905916,0.183524,-1.44262,1.28204
x176,2.60529,2.76855,0.911717,0.370508,-1.45922,1.12557
x177,2.57263,2.77535,0.916597,0.387408,-1.47278,1.13355
x178,2.54109,2.78045,0.919591,0.440779,-1.48174,1.11021
x179,2.50546,2.78546,0.922352,0.653459,-1.5086,0.933045
x180,2.47132,2.78832,0.923745,0.925025,-1.52107,0.688526
x181,2.42543,2.79111,0.923999,1.24431,-1.51992,0.409479
x182,2.35914,2.79153,0.92179,1.59019,-1.51264,0.118058
x183,2.33096,2.7901,0.919703,1.69164,-1.51434,0.0428775
x184,2.25515,2.78322,0.912674,1.96045,-1.49667,-0.15727
x185,2.15469,2.76488,0.891064,2.20079,-1.46896,-0.309215
x186,2.07665,2.73672,0.856731,2.25171,-1.44304,-0.294205
x187,2.04915,2.72309,0.839261,2.33834,-1.42694,-0.356583
x188,2.02081,2.70584,0.817941,2.38812,-1.40752,-0.380626
x189,1.99283,2.68463,0.789965,2.43195,-1.3827,-0.399551
x190,1.97993,2.6729,0.77308,2.45697,-1.36966,-0.408968
x191,1.96357,2.6546,0.745079,2.51215,-1.34669,-0.444761
x192,1.95505,2.64237,0.726249,2.54325,-1.32509,-0.465928
x193,1.94033,2.61265,0.683435,2.60137,-1.31146,-0.506279
x194,1.93802,2.59899,0.663628,2.62303,-1.29202,-0.51202
x195,1.93556,2.58992,0.649815,2.60851,-1.29174,-0.500644
x196,1.93541,2.57862,0.631943,2.60232,-1.27725,-0.489914
x197,1.93775,2.56384,0.60666,2.64067,-1.25422,-0.520477
x198,1.94188,2.54928,0.583984,2.62102,-1.24011,-0.499875
x199,1.94822,2.53546,0.564221,2.6305,-1.22056,-0.509103
x200,1.95566,2.52353,0.54754,2.62471,-1.21277,-0.50981
x201,1.96675,2.51182,0.531267,2.58329,-1.20417,-0.481452
x202,1.98098,2.50261,0.51804,2.55562,-1.19683,-0.463912
x203,1.99742,2.49306,0.507069,2.44907,-1.19595,-0.379309
x204,2.0154,2.48473,0.499432,2.33435,-1.2085,-0.294371
x205,2.03432,2.47763,0.49466,2.21964,-1.22786,-0.217801
x206,2.058,2.47019,0.49177,2.09431,-1.22466,-0.130804
x207,2.07564,2.46525,0.492972,1.94975,-1.24182,-0.0181362
x208,2.09655,2.46161,0.495916,1.81337,-1.24441,0.0832929
x209,2.12791,2.45909,0.504418,1.64274,-1.24796,0.210591
x210,2.19791,2.46852,0.544178,1.22726,-1.25212,0.531157
x211,2.27209,2.48781,0.598599,0.816824,-1.22274,0.846644
x212,2.30007,2.49764,0.622356,0.66325,-1.21193,0.949229
x213,2.33307,2.5072,0.647799,0.512696,-1.19433,1.06277
x214,2.36302,2.51579,0.67063,0.392489,-1.184,1.15398
x215,2.393,2.52387,0.693876,0.331653,-1.18206,1.19284
