key,x,y,z,yaw,pitch,roll
x0,3.01616,2.34495,0.435947,0.0703335,-1.22902,0.929391
x1,3.03157,2.32336,0.438979,0.0586048,-1.23433,0.926693
x2,3.04515,2.30446,0.440523,0.064281,-1.24384,0.911146
x3,3.05347,2.29286,0.440886,0.0727493,-1.25108,0.89781
x4,3.06439,2.27755,0.440526,0.0880027,-1.26164,0.877534
x5,3.0725,2.26608,0.439474,0.101401,-1.26996,0.861484
x6,3.08511,2.24764,0.438341,0.123318,-1.28293,0.83695
x7,3.09198,2.23703,0.438833,0.135771,-1.29004,0.82363
x8,3.10555,2.21408,0.443296,0.163819,-1.30529,0.794728
x9,3.11922,2.18063,0.463143,0.222084,-1.3317,0.734117
x10,3.1198,2.17327,0.472094,0.245679,-1.34011,0.708237
x11,3.11877,2.16753,0.482722,0.276672,-1.34952,0.6741
x12,3.11667,2.16361,0.494557,0.31892,-1.35999,0.628775
x13,3.11368,2.16114,0.507506,0.378573,-1.37158,0.566692
x14,3.11015,2.15996,0.520695,0.459719,-1.38338,0.484503
x15,3.10621,2.15977,0.534076,0.572282,-1.39481,0.372926
x16,3.10169,2.16082,0.547313,0.693759,-1.40354,0.254514
x17,3.09443,2.16432,0.564573,0.82806,-1.41108,0.126542
x18,3.08729,2.16876,0.578949,0.92564,-1.41567,0.0361295
x19,3.07683,2.17605,0.597214,1.04299,-1.42036,-0.0697423
x20,3.04995,2.19582,0.634741,1.32147,-1.42533,-0.316361
x21,3.03302,2.208,0.653342,1.48471,-1.42371,-0.458786
x22,3.02156,2.21598,0.664107,1.57726,-1.42163,-0.537181
x23,3.00915,2.22436,0.674374,1.66376,-1.41885,-0.608507
x24,2.99102,2.23607,0.687118,1.76842,-1.41426,-0.691492
x25,2.97153,2.24798,0.698245,1.85734,-1.40913,-0.757928
x26,2.95065,2.26008,0.707796,1.9517,-1.40095,-0.827843
x27,2.9294,2.27171,0.715236,2.05242,-1.38843,-0.90263
x28,2.90688,2.28331,0.720737,2.14664,-1.37333,-0.969102
x29,2.88361,2.29452,0.724193,2.22355,-1.3589,-1.01786
x30,2.85871,2.30574,0.725946,2.28281,-1.34784,-1.04818
x31,2.83317,2.31648,0.726121,2.32645,-1.34061,-1.06306
x32,2.80651,2.32684,0.724858,2.36126,-1.33503,-1.06821
x33,2.77959,2.33645,0.722482,2.38651,-1.33132,-1.06411
x34,2.75155,2.3456,0.719211,2.40294,-1.3294,-1.05086
x35,2.69387,2.36193,0.711364,2.40565,-1.33078,-0.996259
x36,2.66473,2.36888,0.705719,2.39256,-1.33447,-0.956626
x37,2.63541,2.37492,0.696978,2.3714,-1.34046,-0.910314
x38,2.5781,2.38457,0.672178,2.30362,-1.355,-0.795687
x39,2.4808,2.39585,0.611297,2.11685,-1.36729,-0.524345
x40,2.4466,2.39809,0.585172,2.04936,-1.36129,-0.421171
x41,2.41268,2.39998,0.559808,1.98154,-1.35233,-0.313978
x42,2.37791,2.40222,0.537281,1.90275,-1.34418,-0.193491
x43,2.34274,2.40461,0.517851,1.81911,-1.33667,-0.0684928
x44,2.30772,2.40721,0.501641,1.73507,-1.33019,0.0539093
x45,2.27352,2.41029,0.48864,1.65328,-1.32569,0.168369
x46,2.17584,2.42159,0.467407,1.4166,-1.31611,0.475891
x47,2.14514,2.42591,0.465517,1.33761,-1.31212,0.571516
x48,2.11544,2.43057,0.465788,1.25773,-1.30716,0.664792
x49,2.08677,2.43557,0.467986,1.17728,-1.30085,0.75556
x50,2.0592,2.44089,0.471882,1.09698,-1.2928,0.843212
x51,2.02748,2.44747,0.478471,1.00342,-1.28049,0.94191
x52,1.99776,2.45389,0.486592,0.916227,-1.26524,1.03028
x53,1.97382,2.45921,0.494438,0.846517,-1.2495,1.09793
x54,1.9559,2.46328,0.501043,0.794762,-1.23514,1.14611
x55,1.94283,2.46628,0.506239,0.757333,-1.22296,1.17967
x56,1.93008,2.46919,0.511683,0.720247,-1.20861,1.21149
x57,1.9028,2.47647,0.526376,0.636891,-1.16724,1.27707
x58,1.89284,2.48033,0.53388,0.604109,-1.1483,1.30051
x59,1.88201,2.48659,0.545214,0.563861,-1.12442,1.32741
x60,1.87486,2.49427,0.55788,0.5283,-1.10483,1.34959
x61,1.87162,2.50352,0.572064,0.497274,-1.09143,1.36815
x62,1.87207,2.51353,0.586825,0.471282,-1.08394,1.3832
x63,1.87575,2.5243,0.602337,0.447547,-1.07971,1.39625
x64,1.88216,2.53521,0.617819,0.425472,-1.0765,1.4073
x65,1.8912,2.54637,0.633447,0.40334,-1.07173,1.41675
x66,1.90267,2.55723,0.647972,0.383363,-1.0676,1.42249
x67,1.9168,2.568,0.661036,0.365262,-1.06691,1.42465
x68,1.93264,2.57811,0.671784,0.347273,-1.0684,1.42543
x69,1.95018,2.58766,0.680089,0.326539,-1.07079,1.42706
x70,1.96844,2.59612,0.685184,0.301547,-1.07263,1.43156
x71,1.98777,2.60339,0.687932,0.274538,-1.0741,1.4373
x72,2.04501,2.61592,0.690604,0.213147,-1.08192,1.44419
x73,2.10334,2.61894,0.691659,0.169463,-1.09434,1.44108
x74,2.17587,2.61403,0.698254,0.129715,-1.11437,1.42957
x75,2.26562,2.59945,0.720737,0.0907472,-1.1441,1.41002
x76,2.30645,2.59053,0.735191,0.0756108,-1.16426,1.40018
x77,2.34841,2.58003,0.750738,0.0623268,-1.19494,1.3896
x78,2.39091,2.56794,0.767973,0.0502627,-1.23445,1.37872
x79,2.41524,2.56033,0.77876,0.0436503,-1.26047,1.37257
x80,2.44759,2.54932,0.794394,0.03471,-1.2987,1.36476
x81,2.47027,2.54081,0.80672,0.0245194,-1.32421,1.36273
x82,2.49132,2.53216,0.819522,0.00753191,-1.34338,1.36748
x83,2.5171,2.52057,0.836882,-0.0239707,-1.36257,1.38313
x84,2.54151,2.50863,0.85504,-0.0641679,-1.37955,1.4079
x85,2.5642,2.49682,0.873662,-0.110631,-1.39876,1.44028
x86,2.58594,2.48488,0.893291,-0.169281,-1.42068,1.48699
x87,2.6059,2.47332,0.912876,-0.243738,-1.44265,1.55273
x88,2.62468,2.46189,0.933007,-0.347575,-1.46753,1.65044
x89,2.64149,2.45112,0.953093,-0.518601,-1.49616,1.81776
x90,2.65664,2.44084,0.973907,-0.972133,-1.52781,2.26954
x91,2.66883,2.4316,0.994633,-2.05191,-1.53402,-2.93418
x92,2.67797,2.42329,1.01573,-2.59976,-1.50955,-2.38548
x93,2.6839,2.4163,1.03664,-2.74823,-1.48245,-2.23498
x94,2.68689,2.41044,1.05822,-2.77335,-1.45729,-2.20652
x95,2.68688,2.4059,1.08002,-2.73642,-1.43463,-2.23887
x96,2.67796,2.40067,1.12337,-2.68637,-1.38644,-2.27564
