key,x,y,z,yaw,pitch,roll
x0,3.01631,2.34482,0.435826,0.0724453,-1.22987,0.92745
x5,3.07517,2.27515,0.442228,0.193922,-1.28979,0.757451
x10,3.11078,2.20942,0.482767,0.64533,-1.34457,0.309154
x15,3.11255,2.18373,0.536519,0.794027,-1.3705,0.160723
x20,3.06777,2.20563,0.634194,1.27006,-1.38936,-0.260971
x25,2.98889,2.25007,0.701963,1.80292,-1.4091,-0.695853
x30,2.87377,2.30938,0.730787,2.20852,-1.3432,-0.969617
x35,2.68775,2.3858,0.681521,2.32364,-1.272,-0.922143
x40,2.40055,2.44374,0.529719,2.1427,-1.28501,-0.55757
x45,2.2134,2.44692,0.439743,1.9193,-1.27403,-0.23121
x50,1.99881,2.43615,0.389557,1.52618,-1.2773,0.265725
x55,1.88417,2.44828,0.452087,1.05953,-1.25863,0.778422
x60,1.82578,2.49958,0.566417,0.578958,-1.19117,1.27635
x65,1.84261,2.55293,0.652053,0.490794,-1.13884,1.3401
x70,1.93319,2.59637,0.713966,0.346119,-1.12039,1.39675
x75,2.2828,2.604,0.773374,0.0505164,-1.18531,1.44779
x80,2.4651,2.54537,0.815731,0.0174351,-1.29775,1.37299
x85,2.58955,2.49464,0.872938,-0.081166,-1.37745,1.40683
x90,2.68203,2.45114,0.971766,-0.43916,-1.51173,1.7395
x95,2.71444,2.42831,1.08186,-2.87282,-1.47204,-2.1017
x100,2.43296,2.48417,1.18164,-2.61888,-1.38756,-2.11595
x105,2.31159,2.48802,1.09791,-2.52312,-1.45695,-2.11098
x110,2.21671,2.47314,0.971302,-1.29756,-1.54422,3.03085
x115,2.14663,2.44197,0.834399,0.780519,-1.49859,1.01817
x120,2.12549,2.39915,0.692189,0.892722,-1.44648,0.915874
x125,2.14941,2.30386,0.446405,1.15852,-1.35573,0.638797
x130,2.32189,2.21973,0.302232,1.25258,-1.25388,0.413716
x135,2.4393,2.22844,0.297788,1.04734,-1.24446,0.493393
x140,2.59279,2.27124,0.319024,0.687457,-1.25282,0.686716
x145,2.73599,2.33072,0.34611,0.361136,-1.21897,0.864057
x150,2.85471,2.39266,0.400278,0.126228,-1.19137,1.00205
x155,2.94023,2.45751,0.490624,-0.0672248,-1.16272,1.13736
x160,2.94444,2.59731,0.725366,-0.215431,-1.15724,1.36302
x165,2.86286,2.6715,0.798522,-0.167666,-1.2289,1.40832
x170,2.78198,2.71678,0.856536,-0.123232,-1.30372,1.44141
x175,2.63553,2.76223,0.905916,0.183524,-1.44262,1.28204
x180,2.47132,2.78832,0.923745,0.925025,-1.52107,0.688526
x185,2.15469,2.76488,0.891064,2.20079,-1.46896,-0.309215
x190,1.97993,2.6729,0.77308,2.45697,-1.36966,-0.408968
x195,1.93556,2.58992,0.649815,2.60851,-1.29174,-0.500644
x200,1.95566,2.52353,0.54754,2.62471,-1.21277,-0.50981
x205,2.03432,2.47763,0.49466,2.21964,-1.22786,-0.217801
x210,2.19791,2.46852,0.544178,1.22726,-1.25212,0.531157
x215,2.393,2.52387,0.693876,0.331653,-1.18206,1.19284
x220,2.54664,2.5555,0.80274,0.0429753,-1.21437,1.3717
x225,2.75757,2.56207,0.899479,-0.196019,-1.40022,1.47976
x230,2.86205,2.52786,0.86014,1.49422,-1.50885,-0.27032
x235,2.90746,2.4695,0.746543,2.16156,-1.32403,-0.962424
x240,2.83542,2.35935,0.494333,2.02057,-1.15125,-0.759397
x245,2.72444,2.31535,0.370893,1.91531,-1.17708,-0.57234
x250,2.62861,2.30615,0.257224,1.65539,-1.29315,-0.248713
x255,2.54254,2.31702,0.191154,1.26648,-1.34866,0.208481
x260,2.47559,2.32458,0.172405,1.11664,-1.36316,0.416821
x265,2.40879,2.33368,0.16116,1.13485,-1.36561,0.458622
x270,2.32952,2.33392,0.145064,1.16967,-1.37681,0.496569
x275,2.24509,2.33093,0.132697,1.26484,-1.36185,0.48247
x280,2.06098,2.35416,0.160723,1.44657,-1.39257,0.465968
x285,1.97877,2.36201,0.188967,1.29092,-1.41894,0.68236
x290,1.91725,2.37763,0.238198,1.21823,-1.44146,0.807037
x295,1.87678,2.40523,0.302951,1.11815,-1.46125,0.942961
x300,1.85195,2.44429,0.367037,1.09008,-1.4644,0.990762
x305,1.87784,2.55116,0.579834,0.494482,-1.40883,1.54101
x310,2.18712,2.71472,0.733176,0.436583,-1.38978,1.35262
x315,2.26887,2.7287,0.731195,0.487478,-1.39453,1.24685
x320,2.35542,2.73134,0.727819,0.544113,-1.38686,1.13639
x325,2.4423,2.72442,0.727503,0.566516,-1.39182,1.05309
x330,2.5417,2.70442,0.71746,0.564179,-1.39409,0.965974
x335,2.73101,2.63006,0.712581,1.22548,-1.43539,0.170575
x340,2.83362,2.53353,0.694941,2.0767,-1.3572,-0.74753
x345,2.85253,2.47177,0.671188,2.11233,-1.30246,-0.801873
x350,2.83712,2.40124,0.655644,2.08912,-1.25678,-0.775814
x355,2.78402,2.34039,0.658836,2.05999,-1.26057,-0.727743
x360,2.54919,2.25296,0.636839,1.79845,-1.31417,-0.346238
x365,2.36198,2.26725,0.602609,1.21593,-1.31344,0.316885
x370,2.26226,2.28257,0.578495,1.02405,-1.26972,0.522932
x375,2.18125,2.31222,0.562488,0.901623,-1.23342,0.65715
x380,2.07026,2.3943,0.557666,0.668502,-1.20231,0.900236
x385,1.98224,2.50493,0.610704,0.472245,-1.19329,1.15561
x390,1.95944,2.58298,0.693858,0.312803,-1.17322,1.346
x395,1.96363,2.61853,0.759302,0.225185,-1.1865,1.44824
x400,2.00195,2.63292,0.812449,0.13556,-1.25354,1.52299
x405,2.10972,2.60639,0.850018,0.124579,-1.41341,1.50704
x410,2.18349,2.57759,0.84974,0.12455,-1.47368,1.4782
x415,2.278,2.53074,0.843706,0.111363,-1.49213,1.4464
x420,2.3268,2.48735,0.859252,-0.00735577,-1.48101,1.55199
x425,2.38267,2.45253,0.887607,-0.37548,-1.50603,1.90404
x430,2.52056,2.40517,0.881327,-0.69098,-1.48172,2.1505
x435,2.57884,2.37611,0.847928,-0.358553,-1.43436,1.7729
x440,2.60394,2.36696,0.827118,-0.281191,-1.41713,1.66961
x445,2.62064,2.36846,0.820658,-0.185973,-1.42767,1.57231
x450,2.65033,2.36839,0.808746,-0.372725,-1.38765,1.73102
x455,2.67041,2.35091,0.794294,-0.365282,-1.35491,1.69749
x460,2.67412,2.33396,0.782437,-0.310089,-1.363,1.63218
x465,2.65992,2.33735,0.767878,-0.167494,-1.37384,1.49568
x470,2.60401,2.33205,0.783498,-0.169082,-1.34028,1.53782
x475,2.52032,2.35192,0.767849,-0.24454,-1.34338,1.67578
x480,2.49969,2.36173,0.718434,-0.211529,-1.34323,1.67427
x485,2.4701,2.36911,0.619091,0.0232781,-1.34941,1.47774
x490,2.46487,2.36507,0.54067,0.164234,-1.35327,1.35114
x495,2.4958,2.36708,0.458181,0.486881,-1.396,1.01771
