key,x,y,z,yaw,pitch,roll
x0,3.01617,2.34495,0.435946,0.0703696,-1.22904,0.929352
x1,3.03244,2.32258,0.439517,0.0497807,-1.23212,0.934631
x2,3.04651,2.30306,0.441475,0.0478608,-1.23896,0.926453
x3,3.0552,2.29102,0.441846,0.0527818,-1.24512,0.916792
x4,3.06676,2.2751,0.441177,0.0644423,-1.25539,0.900307
x5,3.07533,2.2632,0.44,0.0754214,-1.26391,0.886665
x6,3.08775,2.24463,0.43738,0.0868697,-1.27414,0.872629
x7,3.09524,2.23334,0.436266,0.104092,-1.28293,0.854113
x8,3.10975,2.2093,0.439045,0.137963,-1.3007,0.819042
x9,3.12241,2.1758,0.461799,0.176336,-1.32693,0.780403
x10,3.12247,2.16851,0.470669,0.197528,-1.33661,0.757745
x11,3.12069,2.16291,0.480725,0.22549,-1.3462,0.727184
x12,3.11806,2.15907,0.492661,0.272113,-1.35783,0.677422
x13,3.11518,2.15683,0.507261,0.349295,-1.37301,0.597127
x14,3.11122,2.15635,0.521527,0.429845,-1.38546,0.514921
x15,3.10682,2.1567,0.534973,0.536897,-1.397,0.408525
x16,3.10219,2.15781,0.547576,0.667607,-1.40621,0.280729
x17,3.09493,2.16124,0.563671,0.816649,-1.41342,0.137955
x18,3.0879,2.16579,0.577719,0.922816,-1.418,0.0391394
x19,3.07746,2.17354,0.596394,1.04114,-1.42326,-0.0673733
x20,3.05033,2.19422,0.634577,1.30405,-1.42837,-0.299087
x21,3.03383,2.20646,0.653104,1.47945,-1.42525,-0.453789
x22,3.02272,2.21454,0.663907,1.58575,-1.42168,-0.54553
x23,3.01028,2.22332,0.674233,1.66853,-1.4189,-0.612829
x24,2.99193,2.23572,0.686988,1.76008,-1.41534,-0.682766
x25,2.97252,2.2482,0.698046,1.8473,-1.40986,-0.747709
x26,2.9518,2.26087,0.707523,1.94192,-1.40047,-0.818224
x27,2.93044,2.27329,0.714928,2.03496,-1.38796,-0.885787
x28,2.90811,2.28566,0.720325,2.13321,-1.37066,-0.956076
x29,2.88485,2.29776,0.723384,2.21009,-1.35514,-1.00444
x30,2.8596,2.31002,0.724442,2.26246,-1.3448,-1.02785
x31,2.83387,2.32167,0.723963,2.30512,-1.33557,-1.04165
x32,2.80695,2.33295,0.722244,2.34138,-1.32686,-1.04789
x33,2.77924,2.34356,0.719571,2.36249,-1.32331,-1.03864
x34,2.74998,2.3536,0.715683,2.36816,-1.32503,-1.01381
x35,2.69265,2.36973,0.703639,2.38134,-1.31902,-0.969554
x36,2.66286,2.37648,0.697549,2.37266,-1.32119,-0.93104
x37,2.62982,2.38275,0.690999,2.31103,-1.34136,-0.840042
x38,2.56892,2.39132,0.671116,2.25419,-1.35631,-0.731627
x39,2.47152,2.39831,0.602228,2.18154,-1.35158,-0.588584
x40,2.43527,2.40087,0.576152,2.11825,-1.34658,-0.490487
x41,2.3986,2.40367,0.553185,2.0434,-1.33541,-0.368878
x42,2.36197,2.40655,0.533109,1.97962,-1.32133,-0.251292
x43,2.3257,2.4094,0.51535,1.91516,-1.31261,-0.137159
x44,2.2915,2.41207,0.500533,1.87312,-1.30551,-0.0538859
x45,2.25812,2.41473,0.488794,1.82864,-1.30147,0.0251868
x46,2.16049,2.4243,0.470693,1.62841,-1.30199,0.297176
x47,2.12948,2.42834,0.469808,1.54077,-1.30304,0.399234
x48,2.09941,2.43273,0.471059,1.44593,-1.30296,0.504586
x49,2.0704,2.43744,0.474185,1.34618,-1.30109,0.61132
x50,2.04258,2.44239,0.478911,1.24427,-1.29692,0.716987
x51,2.01079,2.44859,0.486321,1.12273,-1.28839,0.839177
x52,1.98135,2.4548,0.495008,1.00816,-1.27597,0.95061
x53,1.95801,2.46001,0.503056,0.91794,-1.26232,1.03549
x54,1.94079,2.46396,0.509577,0.852693,-1.24968,1.09495
x55,1.92839,2.46683,0.514535,0.806748,-1.23901,1.13562
x56,1.91656,2.46956,0.519428,0.763918,-1.22743,1.17244
x57,1.8912,2.4759,0.532009,0.669222,-1.19037,1.24817
x58,1.88145,2.47941,0.539485,0.627213,-1.16561,1.27832
x59,1.8717,2.48569,0.55066,0.579472,-1.13804,1.31109
x60,1.86604,2.49349,0.562733,0.54007,-1.1179,1.33707
x61,1.86415,2.50273,0.575966,0.506146,-1.10271,1.35829
x62,1.86608,2.51279,0.589553,0.478338,-1.09337,1.37507
x63,1.87142,2.52372,0.603748,0.452338,-1.08691,1.391
x64,1.8795,2.53485,0.617877,0.427563,-1.08012,1.40528
x65,1.89034,2.54626,0.631985,0.403641,-1.07148,1.41672
x66,1.90372,2.55746,0.645002,0.382127,-1.06316,1.42418
