key,x,y,z,yaw,pitch,roll
x0,3.01631,2.34482,0.435826,0.0724453,-1.22987,0.92745
x1,3.03322,2.32559,0.435742,0.093951,-1.23725,0.88922
x2,3.05125,2.30431,0.437558,0.131448,-1.25323,0.837094
x3,3.05915,2.29601,0.43895,0.144872,-1.25987,0.815975
x4,3.0711,2.28294,0.441039,0.164749,-1.2698,0.785905
x5,3.07899,2.27429,0.443311,0.181558,-1.27576,0.762548
x6,3.0881,2.26204,0.448166,0.233195,-1.29243,0.70165
x7,3.09405,2.2531,0.452338,0.276359,-1.30354,0.654544
x8,3.10136,2.24019,0.460301,0.316904,-1.31472,0.605736
x9,3.1092,2.21867,0.479288,0.550401,-1.34417,0.364498
x10,3.11064,2.21278,0.486183,0.642806,-1.34831,0.273839
x11,3.11136,2.20632,0.494218,0.737414,-1.352,0.180647
x12,3.11242,2.20035,0.503338,0.797922,-1.35412,0.120938
x13,3.11279,2.19559,0.514324,0.796894,-1.35528,0.120426
x14,3.11228,2.19126,0.527306,0.832675,-1.3577,0.0833697
x15,3.11097,2.18809,0.540816,0.858615,-1.36147,0.0564425
x16,3.10964,2.18626,0.552603,0.885491,-1.36776,0.0295996
x17,3.10708,2.18553,0.567589,0.956895,-1.37306,-0.0396687
x18,3.10225,2.18794,0.581572,1.05511,-1.37412,-0.133766
x19,3.09194,2.19518,0.604749,1.13372,-1.37555,-0.204595
x20,3.06737,2.21561,0.642715,1.25191,-1.38622,-0.302042
x21,3.0536,2.22666,0.659363,1.33137,-1.38764,-0.366565
x22,3.04206,2.23519,0.671758,1.39186,-1.38806,-0.415976
x23,3.03198,2.24135,0.68168,1.45546,-1.38803,-0.467716
x24,3.01124,2.25465,0.699183,1.57818,-1.38007,-0.573069
x25,2.99635,2.26432,0.709681,1.67382,-1.37404,-0.649294
x26,2.97514,2.27924,0.721629,1.73915,-1.37414,-0.694179
x27,2.95452,2.29326,0.730028,1.80108,-1.37201,-0.734972
x28,2.93422,2.3058,0.736057,1.87242,-1.36357,-0.783016
x29,2.90747,2.32241,0.742993,1.93965,-1.35343,-0.825254
x30,2.88041,2.34064,0.745969,2.01523,-1.3347,-0.872438
x31,2.85617,2.35699,0.744809,2.0882,-1.30924,-0.915507
x32,2.82587,2.37649,0.739453,2.13144,-1.2945,-0.929052
x33,2.80039,2.39202,0.732251,2.16381,-1.28161,-0.932892
x34,2.76805,2.41014,0.721295,2.19158,-1.26368,-0.933034
x35,2.70202,2.44291,0.696584,2.2235,-1.24118,-0.907147
x36,2.6747,2.45471,0.682632,2.23704,-1.22785,-0.891298
x37,2.64076,2.469,0.663223,2.23488,-1.22408,-0.860934
x38,2.57539,2.49177,0.624481,2.2359,-1.20286,-0.809603
x39,2.48104,2.5187,0.558345,2.18514,-1.1936,-0.673187
x40,2.44004,2.52393,0.531114,2.1346,-1.20331,-0.5988
x41,2.40229,2.52762,0.508156,2.11846,-1.19764,-0.558895
x42,2.36539,2.52916,0.486589,2.08913,-1.19879,-0.504773
x43,2.32856,2.53015,0.46509,2.07014,-1.19609,-0.46122
x44,2.29223,2.5312,0.445121,2.03335,-1.1979,-0.4012
x45,2.26596,2.53174,0.431053,1.99908,-1.19998,-0.346426
x46,2.17542,2.53186,0.385351,1.88065,-1.20185,-0.167006
x47,2.14727,2.53045,0.373909,1.8577,-1.20176,-0.129348
x48,2.12217,2.52895,0.366212,1.81352,-1.20282,-0.0705303
x49,2.09559,2.52683,0.362753,1.73167,-1.20547,0.0216383
x50,2.06352,2.52498,0.363441,1.67735,-1.20694,0.0884555
x51,2.03486,2.52419,0.368145,1.63547,-1.20887,0.146952
x52,2.00232,2.52638,0.379541,1.56907,-1.21167,0.228703
x53,1.97956,2.53042,0.391953,1.47811,-1.21298,0.327586
x54,1.96425,2.53461,0.404802,1.40289,-1.21397,0.4069
x55,1.95054,2.53969,0.417878,1.35146,-1.21496,0.461992
x56,1.94366,2.54332,0.4263,1.31119,-1.21691,0.506618
x57,1.91646,2.5615,0.461617,1.19731,-1.21695,0.630095
x58,1.90927,2.56901,0.475372,1.1303,-1.21404,0.697885
x59,1.89914,2.58173,0.496887,1.03948,-1.20746,0.787967
x60,1.89289,2.59297,0.516566,0.947607,-1.19864,0.877298
x61,1.88795,2.60689,0.540404,0.858157,-1.1862,0.963705
x62,1.8867,2.61875,0.55972,0.784286,-1.17632,1.03393
x63,1.88943,2.63126,0.578007,0.722044,-1.16966,1.09323
x64,1.89495,2.64247,0.591753,0.667561,-1.16017,1.14231
x65,1.90533,2.65453,0.607849,0.636413,-1.16071,1.1679
x66,1.91811,2.66396,0.621043,0.605498,-1.15902,1.19057
x67,1.93419,2.67352,0.634051,0.568777,-1.14923,1.21452
x68,1.95252,2.68304,0.647055,0.539221,-1.14511,1.22884
x69,1.97419,2.69293,0.65984,0.503722,-1.1296,1.24621
