key,x,y,z,yaw,pitch,roll
x0,3.01617,2.34495,0.435946,0.0703686,-1.22904,0.929353
x2,3.04652,2.3029,0.441455,0.0466866,-1.23897,0.927332
x4,3.06682,2.27484,0.441185,0.0621591,-1.25533,0.902167
x6,3.08788,2.24424,0.43738,0.0832819,-1.27392,0.875702
x8,3.10997,2.20876,0.439004,0.132863,-1.30026,0.823622
x10,3.12281,2.16785,0.470459,0.190968,-1.33598,0.7644
x12,3.11844,2.15846,0.492382,0.266646,-1.35758,0.683022
x14,3.11152,2.15588,0.521311,0.425178,-1.38539,0.519675
x16,3.10236,2.15755,0.547578,0.663798,-1.40624,0.284557
x18,3.08798,2.16568,0.577786,0.921335,-1.41813,0.0405535
x20,3.05036,2.19417,0.634637,1.30338,-1.42847,-0.298411
x22,3.02273,2.21445,0.663963,1.5849,-1.42188,-0.54462
x24,2.99199,2.23552,0.687074,1.75962,-1.41568,-0.682281
x26,2.95186,2.26053,0.707668,1.94158,-1.4011,-0.81785
x28,2.90808,2.28514,0.720484,2.13508,-1.37125,-0.957938
x30,2.85931,2.30933,0.724555,2.26626,-1.34522,-1.03174
x32,2.80615,2.33215,0.72237,2.34756,-1.32681,-1.05416
x34,2.74828,2.35277,0.715838,2.37691,-1.3245,-1.0226
x36,2.65922,2.37598,0.697722,2.38349,-1.32012,-0.942537
x38,2.56408,2.39118,0.671351,2.27678,-1.35291,-0.755103
x40,2.4302,2.40082,0.57434,2.14945,-1.34235,-0.522475
x42,2.35709,2.40554,0.531226,2.01461,-1.31966,-0.287616
x44,2.28694,2.41041,0.498901,1.90799,-1.30602,-0.0907271
x46,2.15679,2.42243,0.46974,1.65509,-1.30525,0.268184
x48,2.09619,2.43112,0.47061,1.4656,-1.30688,0.482773
x50,2.03988,2.44109,0.478947,1.25706,-1.3008,0.702439
x52,1.97925,2.45386,0.495519,1.01507,-1.27921,0.942587
x54,1.93908,2.46327,0.510322,0.857127,-1.25237,1.08989
x56,1.91505,2.46902,0.520257,0.767336,-1.22986,1.16868
x58,1.88014,2.47905,0.540338,0.629282,-1.16787,1.27625
x60,1.86478,2.4932,0.563563,0.541388,-1.12005,1.33576
x62,1.86474,2.5125,0.590415,0.479493,-1.09565,1.37381
x64,1.87795,2.53454,0.618926,0.428686,-1.08274,1.40401
x66,1.90184,2.55716,0.646333,0.38327,-1.06618,1.42288
x68,1.93683,2.57922,0.667689,0.346768,-1.06247,1.4269
x70,1.97914,2.59917,0.680351,0.300753,-1.05766,1.43364
x72,2.06708,2.62356,0.684496,0.218313,-1.04546,1.446
x74,2.19929,2.62521,0.695555,0.146726,-1.09132,1.41683
x76,2.31541,2.60098,0.733309,0.109356,-1.15505,1.36116
x78,2.3935,2.57699,0.766507,0.0847386,-1.22853,1.33716
x80,2.44961,2.55663,0.793368,0.068138,-1.29328,1.32644
x82,2.49439,2.53775,0.818847,0.0405418,-1.34313,1.33216
x84,2.54414,2.51227,0.854875,-0.0438272,-1.37598,1.38806
x86,2.58819,2.48696,0.893479,-0.149937,-1.42074,1.4685
x88,2.62552,2.46346,0.933683,-0.333284,-1.46581,1.63703
x90,2.65579,2.44304,0.974613,-1.03458,-1.53293,2.33599
x92,2.67514,2.42698,1.01656,-2.65066,-1.50936,-2.33108
x94,2.68287,2.41585,1.06001,-2.81975,-1.45696,-2.16067
x96,2.67285,2.40829,1.12988,-2.72796,-1.38422,-2.23359
x98,2.56638,2.42869,1.22519,-2.71615,-1.26972,-2.15961
x100,2.43656,2.46373,1.17985,-2.52513,-1.34633,-2.20657
x102,2.38935,2.47091,1.1512,-2.33533,-1.40117,-2.34351
x104,2.34649,2.4746,1.11585,-2.2632,-1.42932,-2.37208
x106,2.29927,2.47473,1.06813,-2.10782,-1.46448,-2.48544
x108,2.2555,2.47045,1.01663,-1.89972,-1.50024,-2.66113
x110,2.21539,2.46182,0.962212,-1.40586,-1.53121,-3.12827
x112,2.18187,2.44952,0.905852,-0.689154,-1.54808,2.4611
x114,2.15267,2.43414,0.851096,0.269647,-1.53662,1.52455
x116,2.12766,2.41696,0.801808,0.514417,-1.51598,1.29698
x118,2.1098,2.39922,0.753867,0.703458,-1.5117,1.11425
x120,2.09458,2.37109,0.680028,1.02796,-1.4991,0.789505
x122,2.09736,2.33515,0.586367,1.25229,-1.46125,0.565492
x124,2.13264,2.29349,0.468125,1.14275,-1.39474,0.656103
x126,2.15306,2.27785,0.428793,1.15893,-1.36638,0.633806
