key,x,y,z,yaw,pitch,roll
x0,3.01631,2.34482,0.435826,0.0724453,-1.22987,0.92745
x2,3.04903,2.30587,0.436433,0.139627,-1.25402,0.833788
x4,3.06932,2.28254,0.440013,0.173533,-1.27816,0.781485
x6,3.08626,2.25983,0.447266,0.213268,-1.29569,0.733329
x8,3.09952,2.23811,0.458528,0.349636,-1.31948,0.59302
x10,3.11078,2.20942,0.482767,0.64533,-1.34457,0.309154
x12,3.11311,2.19727,0.499789,0.681285,-1.35061,0.269598
x14,3.11337,2.18734,0.523002,0.728033,-1.36206,0.223665
x16,3.11229,2.18153,0.54579,0.849563,-1.37072,0.104897
x18,3.10185,2.1839,0.57779,1.01704,-1.38024,-0.0459722
x20,3.06777,2.20563,0.634194,1.27006,-1.38936,-0.260971
x22,3.04075,2.22145,0.663757,1.53374,-1.40392,-0.487225
x24,3.00907,2.23874,0.689441,1.7231,-1.40819,-0.638311
x26,2.97235,2.25916,0.709927,1.89633,-1.40225,-0.771597
x28,2.9231,2.28378,0.726002,2.07003,-1.37372,-0.888691
x30,2.87377,2.30938,0.730787,2.20852,-1.3432,-0.969617
x32,2.81628,2.33757,0.723478,2.27594,-1.31427,-0.985538
x34,2.75544,2.36269,0.706608,2.29277,-1.28159,-0.945471
x36,2.65062,2.39763,0.664167,2.32797,-1.26573,-0.900756
x38,2.55437,2.42086,0.615273,2.29506,-1.26214,-0.799326
x40,2.40055,2.44374,0.529719,2.1427,-1.28501,-0.55757
x42,2.31897,2.44634,0.488196,2.05847,-1.27401,-0.425779
x44,2.24704,2.44687,0.454841,1.97456,-1.2724,-0.303977
x46,2.11459,2.44396,0.401447,1.77239,-1.27063,-0.0386343
x48,2.05682,2.44066,0.388349,1.63363,-1.26539,0.125033
x50,1.99881,2.43615,0.389557,1.52618,-1.2773,0.265725
x52,1.93744,2.43688,0.409513,1.27396,-1.26963,0.542599
x54,1.89272,2.44528,0.443305,1.09772,-1.2588,0.734183
x56,1.86849,2.45528,0.47122,0.972709,-1.25319,0.870111
x58,1.83992,2.47758,0.520283,0.722483,-1.22255,1.13108
x60,1.82578,2.49958,0.566417,0.578958,-1.19117,1.27635
x62,1.8226,2.5218,0.606392,0.572767,-1.15385,1.28163
x64,1.8336,2.54417,0.639509,0.516725,-1.14642,1.32587
x66,1.85643,2.56273,0.665733,0.459147,-1.12802,1.35717
x68,1.88678,2.57882,0.687976,0.417032,-1.12821,1.36879
x70,1.93319,2.59637,0.713966,0.346119,-1.12039,1.39675
x72,2.03536,2.61893,0.75516,0.226255,-1.12143,1.443
x74,2.18974,2.62042,0.769512,0.102188,-1.15005,1.45053
x76,2.32265,2.5951,0.778126,0.0125271,-1.20056,1.4666
x78,2.40739,2.56651,0.797718,0.0485893,-1.24445,1.37298
x80,2.4651,2.54537,0.815731,0.0174351,-1.29775,1.37299
x82,2.50579,2.52963,0.830827,0.0149107,-1.33021,1.35732
x84,2.56194,2.50651,0.855872,-0.0562705,-1.35649,1.3939
x86,2.60903,2.48563,0.888437,-0.124092,-1.39545,1.44219
x88,2.65139,2.46605,0.930475,-0.237803,-1.43237,1.54111
x90,2.68203,2.45114,0.971766,-0.43916,-1.51173,1.7395
x92,2.70346,2.4378,1.01479,-2.25139,-1.53932,-2.73026
x94,2.71349,2.42943,1.05834,-2.9197,-1.48878,-2.05763
x96,2.70472,2.4301,1.13706,-2.825,-1.42183,-2.13751
x98,2.583,2.46107,1.23295,-2.79415,-1.29908,-2.06827
x100,2.43296,2.48417,1.18164,-2.61888,-1.38756,-2.11595
x102,2.38082,2.48875,1.15228,-2.67779,-1.42895,-2.02689
x104,2.33629,2.48976,1.12052,-2.68173,-1.45683,-1.9871
x106,2.29018,2.48667,1.07614,-2.38769,-1.47363,-2.22072
x108,2.25035,2.48086,1.02585,-2.25685,-1.51372,-2.31659
x110,2.21671,2.47314,0.971302,-1.29756,-1.54422,3.03085
x112,2.18492,2.46203,0.912863,0.319537,-1.55024,1.43978
x114,2.15846,2.44981,0.860479,0.799997,-1.52974,0.981094
x116,2.13635,2.43416,0.809421,0.752369,-1.49629,1.04576
x118,2.12499,2.4202,0.768036,0.796886,-1.48213,1.0087
x120,2.12549,2.39915,0.692189,0.892722,-1.44648,0.915874
x122,2.1286,2.36169,0.587605,1.03012,-1.40021,0.780773
x124,2.1426,2.31392,0.46667,1.16413,-1.35597,0.632835
x126,2.15514,2.29617,0.431038,1.19872,-1.34512,0.592836
x128,2.17439,2.27572,0.391298,1.25606,-1.32104,0.526074
x130,2.32189,2.21973,0.302232,1.25258,-1.25388,0.413716
x132,2.37166,2.22046,0.298584,1.20895,-1.24124,0.405473
x134,2.41747,2.22485,0.297389,1.09071,-1.2514,0.475684
x136,2.46846,2.23493,0.299305,0.96951,-1.24884,0.523861
x138,2.52831,2.25063,0.307012,0.876483,-1.24712,0.561984
x140,2.59279,2.27124,0.319024,0.687457,-1.25282,0.686716
x142,2.64509,2.29185,0.330036,0.569052,-1.24605,0.752749
x144,2.70945,2.3189,0.34142,0.419007,-1.23149,0.834112
x146,2.76136,2.34249,0.351798,0.318898,-1.21391,0.8832
x148,2.81159,2.3673,0.371828,0.22459,-1.2006,0.939353
x150,2.85471,2.39266,0.400278,0.126228,-1.19137,1.00205
x152,2.89214,2.41948,0.435111,0.0206761,-1.18189,1.07945
x154,2.9259,2.44508,0.469978,-0.0409571,-1.16507,1.11656
x156,2.95185,2.47009,0.512972,-0.107019,-1.15156,1.17361
x158,2.97195,2.53465,0.636208,-0.204522,-1.13054,1.29088
x160,2.94444,2.59731,0.725366,-0.215431,-1.15724,1.36302
x162,2.91136,2.6335,0.762902,-0.208135,-1.19405,1.40043
x164,2.88287,2.65716,0.784866,-0.186957,-1.21431,1.4092
x166,2.84707,2.68164,0.810225,-0.163312,-1.23512,1.41724
x168,2.81784,2.69855,0.833023,-0.1691,-1.26094,1.44977
x170,2.78198,2.71678,0.856536,-0.123232,-1.30372,1.44141
x172,2.73616,2.73504,0.87724,-0.0673956,-1.36589,1.42909
x174,2.66858,2.75438,0.898558,0.0695498,-1.4256,1.36334
x176,2.60529,2.76855,0.911717,0.370508,-1.45922,1.12557
x178,2.54109,2.78045,0.919591,0.440779,-1.48174,1.11021
x180,2.47132,2.78832,0.923745,0.925025,-1.52107,0.688526
x182,2.35914,2.79153,0.92179,1.59019,-1.51264,0.118058
x184,2.25515,2.78322,0.912674,1.96045,-1.49667,-0.15727
x186,2.07665,2.73672,0.856731,2.25171,-1.44304,-0.294205
x188,2.02081,2.70584,0.817941,2.38812,-1.40752,-0.380626
x190,1.97993,2.6729,0.77308,2.45697,-1.36966,-0.408968
x192,1.95505,2.64237,0.726249,2.54325,-1.32509,-0.465928
x194,1.93802,2.59899,0.663628,2.62303,-1.29202,-0.51202
x196,1.93541,2.57862,0.631943,2.60232,-1.27725,-0.489914
x198,1.94188,2.54928,0.583984,2.62102,-1.24011,-0.499875
x200,1.95566,2.52353,0.54754,2.62471,-1.21277,-0.50981
x202,1.98098,2.50261,0.51804,2.55562,-1.19683,-0.463912
x204,2.0154,2.48473,0.499432,2.33435,-1.2085,-0.294371
x206,2.058,2.47019,0.49177,2.09431,-1.22466,-0.130804
x208,2.09655,2.46161,0.495916,1.81337,-1.24441,0.0832929
x210,2.19791,2.46852,0.544178,1.22726,-1.25212,0.531157
x212,2.30007,2.49764,0.622356,0.66325,-1.21193,0.949229
x214,2.36302,2.51579,0.67063,0.392489,-1.184,1.15398
x216,2.4262,2.53229,0.719235,0.248687,-1.17494,1.24671
x218,2.49234,2.54642,0.766737,0.122135,-1.18235,1.3274
x220,2.54664,2.5555,0.80274,0.0429753,-1.21437,1.3717
x222,2.66375,2.56393,0.867887,-0.0806791,-1.28907,1.42767
x224,2.7276,2.56364,0.893394,-0.166115,-1.35027,1.47298
x226,2.77654,2.55953,0.900157,-0.155254,-1.42934,1.4301
